Modelo,MAE,RMSE,R2
"SVR(C=10, eps=0.1)",10.806766923968576,14.704562051636575,0.6405166264624192
BayesianRidge,11.363357947839681,14.528233834788105,0.6494039094294048
KNN(base k=15),12.500945104491723,16.476517461520434,0.5489325676514077
